Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Yerdos AKHMADIYEV|Cross-Country|Kazakhstan|Male|6 March 1985|28|1.80|72|-|-||Vyacheslav Bayadilov ||||||||Russian||||
Chemmy ALCOTT|Alpine Skiing|Great Britain|Female|10 July 1982|31|1.70|74|Great Britain, LONDON|-|Chems |||She broke her right leg again during the 2012/13 season and had to withdraw from the 2012 World Championships in Schladming, Austria. Then in August 2013 she broke her right leg for a third time. She expected to be ready in time for the 2014 Olympic Winter Games in Sochi. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete||||English||||
Zhanbota ALDABERGENOVA|Freestyle Skiing|Kazakhstan|Female|23 September 1995|18|1.68|57|Kazakhstan, YU-KAZAKHSTANSKAYA|-||Murat Ablytaifov ||||||||||||
Janine ALDER|Ice Hockey|Switzerland|Female|5 July 1995|18|1.61|53|Switzerland, URNASCH AR|-||||||||||||||
Arnaud ALESSANDRIA|Alpine Skiing|Monaco|Male|15 July 1993|20|1.85|92|Monaco|-||||In late 2013 he suffered concussion after falling on his head during a giant slalom race in Valloire, France. The impact of the crash cracked his helmet. ||Athlete||||French||||
Nicholas ALEXANDER|Ski Jumping|United States|Male|24 August 1988|25|1.80|64|United States, Brattleboro|-||Clint Jones [national] |||Vancouver 2010|Athlete|Lebanon Outing Club, United States|||English|Listening to music, photography, aviation, nutrition. |||
Daniel ALFREDSSON|Ice Hockey|Sweden|Male|11 December 1972|41|1.82|92|Sweden, BERGSJON|-||||||||||||||
Alexei ALMOUKOV|Biathlon|Australia|Male|22 March 1990|23|1.73|73|Russian Fed., SOLOBOEVO|-||Nick Almoukov [father] ||He severely twisted his ankle while training in Australia before the start of the 2013/14 season. |Vancouver 2010|||||English, Russian|Hanging out with friends. |||
Ksenia ALOPINA|Alpine Skiing|Russian Fed.|Female|30 May 1992|21|1.65|62|Russian Fed., BELORETSK, REPUBLIC OF BASHKORTOSTAN|Russian Fed., BELORETSK|Ksyunya |G. Lebedev, Dmitry Prikhodchenko ||||||||English, Russian||||
Katharina ALTHAUS|Ski Jumping|Germany|Female|23 May 1996|17|1.57|52|Germany, OBERSTDORF|-|Katha, Kathi, Entchen |Catrin Schmid, Peter Leiner, Andreas Bauer ||||Student|SC Oberstdorf, Germany||||Skiing, making music. |||
Livia ALTMANN|Ice Hockey|Switzerland|Female|13 December 1994|19|1.65|64|Switzerland, GLARUS SUD GL|-||||||||||||||
Mario ALTMANN|Ice Hockey|Austria|Male|4 November 1986|27|1.93|98|-|-||||||||||||||
Eduardo ALVAREZ|Short Track|United States|Male|30 January 1990|24|1.75|72|United States, MIAMI|-|Eddy, Eddy the Jet |Wilma Boomstra; Guy Thibault [national] ||He experienced problems with his knees for two years, beginning in the middle of 2010. The pain stopped him skating in late 2011. He had surgery in April 2012 and returned to the ice in July 2012. ||Athlete||||English, Spanish|Playing guitar. |||
Elias AMBUEHL|Freestyle Skiing|Switzerland|Male|26 March 1992|21|1.82|82|Switzerland, MASEIN|-|Eli |Misra Noto [national] SUI; Dominik Furrer [national] SUI ||||Athlete||||English, German|Water sports, skating, cars. |||
Andres AMBUHL|Ice Hockey|Switzerland|Male|14 September 1983|30|1.76|82|Switzerland, DAVOS GR|-||||||||||||||
Simon AMMANN|Ski Jumping|Switzerland|Male|25 June 1981|32|1.72|60|Switzerland, ALT ST. JOHANN SG|-|Simi |Martin Kunzle ||Before the 2002 Olympic Winter Games he crashed in a World Cup event in Willingen, Germany and was scraped up badly, sustaining head and leg injuries. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete|SSC Toggenburg, Switzerland|||English, French, German|Motorcycle riding, golf, skydiving, flying planes. |||
Amanda AMMAR|Cross-Country|Canada|Female|6 February 1986|27|1.57|54|-|-|Nan |Christopher Butler [personal], CAN; Justin Wadsworth [national], USA ||In 2013 she was troubled by injuries to her back and foot. |Torino 2006|Business Owner, Clerk||||English||||
Florent AMODIO|Figure Skating|France|Male|12 May 1990|23|1.64|-|Brazil, SOBRAL|-||||||||||||||
Victor AN|Short Track|Russian Fed.|Male|23 November 1985|28|1.70|65|Korea, SEOUL, REPUBLIC OF KOREA|Russian Fed., MOSCOW|Janus [because he looks like a young boy, but when he starts skating he changes]. |Sebastien Cros ||In 2008 he crashed into a wall during training and suffered a knee injury that nearly ended his career. He had to undergo four operations in the course of 15 months and missed qualifying for the 2010 Olympic Winter Games in Vancouver. |Torino 2006, Salt Lake City 2002|Athlete, Student||||English, Korean|Watching movies, music, cars, baseball and other sports. |||
Jamie ANDERSON|Snowboard|United States|Female|13 September 1990|23|1.60|54|United States, SOUTH LAKE TAHOE|-||Mike Jankowski [national] |Right |She suffered two injuries in the 2008/09 season, a broken pelvis in January 2009 at the European Open, preventing her from defending her Winter X crown. In March 2009, she crashed heavily whilst training for the final event of the Burton Open Global Series and ruptured her spleen, causing her to spend six days in intensive care. ||Athlete||Regular |||Cycling, hiking, fishing, spending time with friends and family. |||
Jasey Jay ANDERSON|Snowboard|Canada|Male|13 April 1975|38|1.78|80|Canada, MONTREAL|Canada, Mont-tremblant|Old Man |Mark Fawcett |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete, Business Owner, Farmer||Goofy ||English|Canoeing, hiking, kayaking, cross-country skiing, mountain biking, surfing, snowshoeing, painting. |||
David ANDERSSON|Speed Skating|Sweden|Male|23 February 1994|19|1.83|78|Sweden, VANERSNAS|-||Mattias Hadders ||||Athlete||||Danish, English, German, Swedish||||
Emilia ANDERSSON|Ice Hockey|Sweden|Female|31 August 1988|25|1.75|72|Sweden, SOLLENTUNA|-||||||||||||||
Scott ANDREWS|Curling|Great Britain|Male|14 June 1989|24|1.75|-|Great Britain, IRVINE|-||Soren Gran [national] ||||Athlete|Galston Haymouth Curling Club, Ayr, GBR|Second ||English||||
Matteo ANESI|Speed Skating|Italy|Male|16 August 1984|29|1.85|81|Italy, TRENTO|-||Stefano Donagrandi [national] ||In 2012 he had back problems and had sit out the rest of his season. |Vancouver 2010, Torino 2006|Athlete||||English, Italian|Playing the guitar, motorbikes. |||
Krasimir ANEV|Biathlon|Bulgaria|Male|16 June 1987|26|1.74|67|Bulgaria, SAMOKOV|-|Krasi |Georgi Fartunov [national], Diana Galeva [club]. |||Vancouver 2010|Athlete, Sports Teacher||||Bulgarian, Russian|Fixing and driving cars. |||
Apostolos ANGELIS|Biathlon|Greece|Male|24 June 1993|20|1.81|76|-|-||||||Business Owner|||||Basketball, listening to music. |||
Apostolos ANGELIS|Cross-Country|Greece|Male|24 June 1993|20|1.81|76|-|-||||||Business Owner|||||Basketball, listening to music. |||
Lucia ANGER|Cross-Country|Germany|Female|26 January 1991|23|1.68|60|-|-|Luci |||||Athlete, Customs Officer|||||Sports in general, knitting, reading. |||
Tobias ANGERER|Cross-Country|Germany|Male|12 April 1977|36|1.78|72|-|-|Tobi |||Prior to the start of the 2012/13 season he had problems with his hip and sacroiliac joint [pelvis]. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Serves in the Army||||English, German|Football, tennis, golf, music, meeting friends. |||
Monique ANGERMUELLER|Speed Skating|Germany|Female|27 January 1984|30|1.75|65|Germany, BERLIN|-||Thomas Schubert, Markus Eicher ||She was troubled by injury problems at the start during the 2011/12 season. |Vancouver 2010|Athlete||||English, German||||
Artyom ANISIMOV|Ice Hockey|Russian Fed.|Male|24 May 1988|25|1.93|88|-|Russian Fed., YAROSLAVL||||||||||||||
Sophie ANTHAMATTEN|Ice Hockey|Switzerland|Female|26 July 1991|22|1.71|72|Switzerland, SAAS-GRUND VS|-||||||||||||||
Deborah ANTHONIOZ|Snowboard|France|Female|29 August 1978|35|1.65|52|France, THONON LES BAINS|France, Les Gets|Debo |Jerome Choupin [national]; Michael David [ national] ||In February 2013 she ruptured the anterior cruciate ligament [ACL] in her left knee during qualifying at the World Cup event in Blue Mountain, ON, Canada. She made her comeback in September 2013. |Vancouver 2010, Torino 2006|Athlete|ASPTT Annemasse, France|||French||||
Matthew ANTOINE|Skeleton|United States|Male|2 April 1985|28|1.91|84|United States, PRAIRIE DU CHIEN|-|Matt |Orvie Garrett [personal]; Tuffy Latour [national] ||He partially tore his patellar tendon during the 2011/2012 season but continued to race. He underwent reconstructive surgery in July 2012 and was competing again by November 2012. ||Athlete||||English||||
Jan ANTOLEC|Cross-Country|Poland|Male|3 May 1990|23|1.79|73|-|-||Janusz Krezelok [national] ||||Athlete, Student||||Polish|Football, volleyball. |||
Vladislav ANTONOV|Luge|Russian Fed.|Male|21 September 1991|22|1.79|80|-|Russian Fed., KRASNOYARSK|Vlad |Zhanna Zheman, RUS; Alexander Osipenko, RUS; Walter Plaikner [national], ITA, from 2013 ||||Athlete|Academy of Winter Sports, Krasnoyarsk, RUS|||Russian|Extreme sports, cars. |||
Maryna ANTSYBOR|Cross-Country|Ukraine|Female|10 October 1987|26|1.61|54|-|-||Oleksandr Radevich, Ivan Tereshchenko |||Vancouver 2010|||||English, Russian, Ukrainian|Football, tennis. |||
Kirill ANTUKH|Bobsleigh|Russian Fed.|Male|6 October 1986|27|1.90|97|-|Russian Fed., ST. PETERSBURG||Dmitry Golovastov [personal] ||||||Push athlete ||Russian|Hip-hop music. |||
Tetyana ANTYPENKO|Cross-Country|Ukraine|Female|24 September 1981|32|1.58|55|-|-||Svetlana Baida, Ivan Tereshchenko ||||||||||||
Manuela ANWANDER|Ice Hockey|Germany|Female|9 January 1992|22|1.64|67|Germany, GRAFELFING|-||||||||||||||
Kanae AOKI|Ice Hockey|Japan|Female|20 February 1985|28|1.65|60|Japan, AOBA-CHO, TOMAKOMAI-CITY, HOKKAIDO|-||||||||||||||
Ryo AONO|Snowboard|Japan|Male|15 May 1990|23|1.66|60|Japan, MATSUYAMA-CITY, EHIME|Japan, Matsuyama Ehime||Naoki Wataya |||Vancouver 2010|Student|Matsuyama University, Japan|Regular ||Japanese|Cycling, fishing. |||
Gillian APPS|Ice Hockey|Canada|Female|2 November 1983|30|1.80|80|Canada, NORTH YORK|-||||||||||||||
Zhibek ARAPBAYEVA|Freestyle Skiing|Kazakhstan|Female|8 December 1991|22|1.60|58|Kazakhstan|-||Murat Ablyatifov |||Vancouver 2010|Athlete, Student||||Kazakh, Russian||||
Ingrida ARDISAUSKAITE|Cross-Country|Lithuania|Female|17 January 1993|21|1.78|65|-|-||Kazimiera Stroliene [national] ||||Athlete, Student||||English, Lithuanian||||
Evgeny ARKHIPOV|Curling|Russian Fed.|Male|4 January 1992|22|1.80|-|-|Russian Fed., ST. PETERSBURG|Zheniok |Ruben Alisievich [personal], RUS; Vasily Gudin [national], RUS; Rodger Schmidt [national], SUI ||||Athlete, Student||Third ||Russian||||
Tobias ARLT|Luge|-|Male|2 June 1987|26|1.78|77|-|-|Tobi |Patric Leitner, Norbert Loch [national] ||||Police Officer|WSV Konigssee , Germany|Back |||Playing tennis, windsurfing, snowboarding. |||
Maximilian ARNDT|Bobsleigh|Germany|Male|23 July 1987|26|1.80|93|Germany, SUHL|-|Max |Matthias Trubner [team], Christoph Langen [national] ||In October 2013 he suffered torn ligaments in his ankle. He hoped to recover in time for the 2014 Olympic Winter Games in Sochi. ||Police Officer||Pilot ||German|Spending time with friends, going to cinema, motorcycle riding, playing football. |||
Tobias ARWIDSON|Biathlon|Sweden|Male|7 June 1988|25|1.70|74|Sweden, LIMA|-||Johan Hagstrom [national] ||||Athlete, Personal Trainer||||English, German, Swedish|Nature, fishing, hunting, music. |||
Mao ASADA|Figure Skating|Japan|Female|25 September 1990|23|1.63|-|Japan, NAGOYA-CITY, AICHI|-||Nobuo Sato, JPN; Kumiko Sato, JPN |||Vancouver 2010|Athlete, Student|Chukyo University Skating Club, Nagoya, JPN|||Japanese|Doing puzzles, playing Lego, shopping, reading. |||
Morten ASK|Ice Hockey|Norway|Male|14 May 1980|33|1.85|88|Norway, OSLO|-||||||||||||||
Dawn ASKIN|Curling|Canada|Female|3 July 1980|33|1.62|-|Canada, OTTAWA|-|Super D |Janet Arnott ||||Athlete, Public Servant||Lead ||English|Spending time outdoors. |||
Jenni ASSERHOLT|Ice Hockey|Sweden|Female|8 April 1988|25|1.72|71|Sweden, GULDSMEDH|-||||||||||||||
Fraenzi AUFDENBLATTEN|Alpine Skiing|Switzerland|Female|10 February 1981|32|1.72|72|Switzerland, ZERMATT|-|Fra |Hans Flatscher ||In 2009 she tore her ACL and injured her meniscus in her right knee in the giant slalom world cup event at Cortina d'Ampezzo. As a consequence she was out for the rest of the season and missed out on competing at the 2010 Olympic Winter Games in Vancouver. |Torino 2006, Salt Lake City 2002|||||English, German|Golf and tennis. "Besides skiing, I enjoy playing golf. I play sometimes in poor weather conditions, because it's a good change." |||
Aleksander AURDAL|Freestyle Skiing|Norway|Male|25 March 1988|25|1.78|84|Norway, BODO|-|Al, Aleks |Christopher Frankum [national] ||||Athlete||||English, Norwegian||||
Nikita AVTANEEV|Snowboard|Russian Fed.|Male|3 September 1995|18|1.83|73|Russian Fed., MOSCOW|-||Maxim Khalin ||||Athlete, Student|Russian Ski School Stolitsa, Moscow, RUS|||English, Russian||||
Irina AVVAKUMOVA|Ski Jumping|Russian Fed.|Female|14 September 1991|22|1.71|57|-|-||Roman Kerov ||In late July 2013 she suffered a knee injury during the Grand Prix in Hinterzarten, Germany. She returned to training in early August 2013. |||Vorobyovy Gory, Moscow, RUS|||English, Russian|Playing football and basketball, reading books, watching movies, driving, catching up with friends. |||
Yelizaveta AXENOVA|Luge|Kazakhstan|Female|11 September 1995|18|1.68|60|Russian Fed., MOSCOW REGION|-||Tatiana Chepurny from 2010 ||||Athlete|School of Olympic Reserve, Krasnoyarsk, RUS|||||||
Yekaterina AYDOVA|Speed Skating|Kazakhstan|Female|30 July 1991|22|1.70|62|Kazakhstan|-||Sergey Loskutnikov, KAZ, from 2002; Vladimir Levchenko, KAZ; Sergey Surgutanov, KAZ; Vadim Sayutin [national], RUS |||Vancouver 2010|Athlete, Student||||Russian|Reading, listening to music, playing the guitar and piano. |||
Celia AYMONIER|Cross-Country|France|Female|5 August 1991|22|1.61|56|-|-||Anael Huard |||||||||Swimming, music, tennis, horse riding, handball, triathlon. |||
Abzal AZHGALIYEV|Short Track|Kazakhstan|Male|30 June 1992|21|1.74|70|Kazakhstan, KAZAKHSTAN|-||Madygali Karsybekov, Zhaslan Mukhambetkaliyev ||||Student||||Kazakh, Russian||||
Dexin BA|Curling|China|Male|14 June 1990|23|1.85|-|China, HEILONGJIANG|-||Lorne Hamblin [national] ||||Athlete||Second ||Mandarin||||
Dmitriy BABENKO|Speed Skating|Kazakhstan|Male|22 March 1985|28|1.84|76|Kazakhstan|-|Dima |Alexander Surovyatkin, Sergey Tsybenko, KAZ; Nikolai Zurabev ||In 2008, he needed treatment for six months on a strained abdominal muscle. |Vancouver 2010, Torino 2006|||||Russian||||
Ivan BABIKOV|Cross-Country|Canada|Male|4 July 1980|33|1.72|69|-|-|The Bulldog |Justin Wadsworth |||Vancouver 2010, Torino 2006|Athlete||||English, Russian, Ukrainian|Playing football, watching the TV show 'Family Guy'. |||
Katarzyna BACHLEDA - CURUS|Speed Skating|Poland|Female|1 January 1980|34|1.70|62|Poland, SANOK|-||Krzysztof Niedzwiedzki |||Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete||||English, Polish, Russian|Reading, skiing, music. |||
David BACKES|Ice Hockey|United States|Male|1 May 1984|29|1.91|101|United States, ROBBINSDALE|-||||||||||||||
Lina BACKLIN|Ice Hockey|Sweden|Female|3 October 1994|19|1.69|67|Sweden, STAFFAN|-||||||||||||||
Linnea BACKMAN|Ice Hockey|Sweden|Female|18 April 1991|22|1.67|66|Sweden, OSERHANINGE|-||||||||||||||
Adrien BACKSCHEIDER|Cross-Country|France|Male|7 August 1992|21|1.78|73|-|-||Vincent Vittoz [national] ||||Athlete, Student||||French||||
Nicklas BACKSTROM|Ice Hockey|Sweden|Male|23 November 1987|26|1.85|95|-|-||||||||||||||
Axel BAECK|Alpine Skiing|Sweden|Male|23 December 1987|26|1.80|80|Belgium, BRUSSELS|-||||In 2008 he injured his knee. |Vancouver 2010|Athlete||||English, French, Swedish|Cooking, vinyl music records, windsurfing, climbing, adrenaline sports, playing the drums, cycling. |||
Jannis BAECKER|Bobsleigh|Germany|Male|1 January 1985|29|1.98|101|Germany, UNNA|-||Gerd Leopold [team]; Christoph Langen [national] ||||Athlete, Serves in the Army||Brakeperson ||||||
Qiuming BAI|Speed Skating|China|Male|30 August 1994|19|1.73|70|China, HEILONGJIANG|-||Feng Qingbo ||||Athlete, Student||||Mandarin||||
Lowell BAILEY|Biathlon|United States|Male|15 July 1981|32|1.85|76|United States, SILER CITY|-||Per Nilsson [national] |Left ||Vancouver 2010, Torino 2006|Athlete, Musician||||English|Playing the guitar, mandolin, and banjo, fishing, sailing, enjoying bonfires. |||
Jeremy BAILLARD|Bobsleigh|France|Male|4 February 1990|24|1.87|106|France, ENGHIEN LES BAINS|-||Jean Baptiste Tiercelin [personal] ||He contracted mononucleosis in 2009. ||Athlete||Crew ||French||||
John BAINES|Bobsleigh|Great Britain|Male|26 September 1985|28|1.89|100|Great Britain, MIDDLESBROUGH|-||Michael Khmel, RUS; Dominik Scherrer [national], SUI ||||Serves in the Air Force|Team Bath, England|Brakeperson |||Walking his dog, watching movies, playing computer games, watching athletics. |||
Philomena BAIR|Freestyle Skiing|Austria|Female|24 February 1996|17|1.70|62|Austria, HALL IN TIROL|-|Philo |||||Athlete, Student||||||||
Johann BAISAMY|Snowboard|France|Male|18 May 1989|24|1.68|67|France, EVIAN LES BAINS|France, Neuvecelle|Jo |Valerie Bourdier ||In 2010 he broke his ankle while snowboarding in the Pyrenees. Three months after recovering, he almost broke his back after landing badly from a jump. ||Athlete|Ski Club Morzine Avoriaz, France|Goofy ||English, French|Moto trials, sports, spending time with his girlfriend. |||
Martin BAJCICAK|Cross-Country|Slovakia|Male|12 June 1976|37|1.69|69|-|-||Stanislav Holiencik [national] ||He broke his right collar bone in a mountain biking accident. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete||||English, Slovak|Sports, listening to music. |||
David BAKES|Snowboard|Czech Republic|Male|2 August 1982|31|1.91|85|Czech Republic, PRAHA|Czech Republic, Prague|Baki, Baky |Marek Jelinek; Adam Ramesh; Oleg Mazur ||He was knocked unconscious in a fall at a race in Stoneham, QC, Canada in early 2012. He suffered numerous injuries in the fall including cracked vertebrae, a cracked sternum and a broken arm. |Vancouver 2010||Dukla Liberec, Czech Republic|||Czech, English|Downhill mountain biking, windsurfing. |||
Emily BAMFORD|Alpine Skiing|Australia|Female|11 March 1992|21|1.69|64|Australia, GREENSBOROUGH|-||||||||||||||
Bruno BANANI|Luge|-|Male|4 December 1987|26|1.84|89|-|-||Isabel Barchinski ||He crashed while attempting to qualify for the 2010 Olympic Winter Games in Vancouver and sustained a concussion. ||Athlete||||English||||
Salome BANCORA|Alpine Skiing|Argentina|Female|28 February 1993|20|-|-|Argentina, BUENOS AIRES|-||||In 2011, she suffered a knee injury and underwent surgery which sidelined her for a few months. ||||||||||
Ondrej BANK|Alpine Skiing|Czech Republic|Male|27 October 1980|33|1.75|85|Czech Republic, ZABREH NA MORAVE|-||Tomas Bank [brother] ||In February 2013 he fell during a training session ahead of a World Cup race at Schladming, Austria, and bruised his knee. Although the injury on its own was not particularly serious, it was decided in light of previous injury problems he had suffered earlier in the season that the best option was to withdraw from the event in Schladming. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete|||||Fishing, tricycle polo, golf, tennis. |||
Charlotte BANKES|Snowboard|France|Female|10 June 1995|18|1.63|60|Great Britain, HEMEL HEMPSTEAD|France, L Argentiere La Bessee||David Michael [national] ||In 2011 she broke her pelvis in L'Alpe d'huez, France. |||Ecrins Snowboard, L'Argentiere-la-Bessee, FRA|||English, French||||
Noelle BARAHONA|Alpine Skiing|Chile|Female|30 November 1990|23|1.72|70|Chile, SANTIAGO|-||Maui Gayne, Aurelia Urbain ||She broke her Fibula in 2007 and spent three months recovering. |Vancouver 2010, Torino 2006|||||English, Spanish|Spending time with her family, skiing, playing volleyball, football and basketball. |||
Ivan BARANKA|Ice Hockey|Slovakia|Male|19 May 1985|28|1.89|91|Slovakia, ILAVA|-||||||||||||||
Ekaterina BARANOK|Short Track|Russian Fed.|Female|1 July 1992|21|1.68|56|Russian Fed., OMSK|Russian Fed., OMSK|Katya |Anatoly Brasalin ||In 2013, she suffered a leg injury which kept her off the ice for about a month. She missed the Russian Cup and the first leg of the 2013/14 World Cup. ||Athlete||||Russian||||
Alexandru BARBU|Alpine Skiing|Romania|Male|8 March 1987|26|1.77|70|Romania, SIBIU|-|Alice |Florin Cristea [national]; Sebastian Barbu [brother] ||He has had surgery on his right knee. |||||||Cycling, golf. |||
Anders BARDAL|Ski Jumping|Norway|Male|24 August 1982|31|-|-|Norway, LEVANGER|-||Alexander Stockl |||Vancouver 2010, Salt Lake City 2002|Athlete|Steinkjer Skiklubb, Norway|||English, Norwegian|Playing golf, spending time with friends and family. |||
Michal BARINKA|Ice Hockey|Czech Republic|Male|12 June 1984|29|1.92|102|-|-||||||||||||||
Aleksander BARKOV|Ice Hockey|Finland|Male|2 September 1995|18|1.90|91|Finland, TAMPERE|-||||||||||||||
Dmitriy BARMASHOV|Freestyle Skiing|Kazakhstan|Male|25 September 1985|28|1.78|78|Kazakhstan|-||Vladimir Sokolov |||Vancouver 2010|||||||||
Lanny BARNES|Biathlon|United States|Female|26 April 1982|31|1.63|52|United States, DURANGO|-||Jonne Kahkonen |||Vancouver 2010, Torino 2006|Athlete||||English|Football, hunting, fishing, drawing. |||
Bryan BARNETT|Bobsleigh|Canada|Male|10 February 1987|26|1.83|102|Canada, EDMONTON|-||Tom De La Hunty [national] ||||||Brakeperson ||English||||
Alizee BARON|Freestyle Skiing|France|Female|6 August 1992|21|1.75|64|France, MONTPELLIER|France, Orcieres||Michel Lucatelli [national], Vincent Espitallier [club] ||||||||||||
Anne-Sophie BARTHET|Alpine Skiing|France|Female|23 February 1988|25|1.70|70|France, TOULOUSE|-|"'Boubou', like a bullet." |Antony Sechaud ||In March 2013 she fractured her shoulder [upper humerus] and was knocked unconscious for a minute after a fall at a world cup event in Germany. The injury did not require surgery but ended her 2012/13 season prematurely. |Vancouver 2010, Torino 2006|Armed Services, Athlete||||English, French|Sports in general, particularly tennis, figure skating, swimming and golf. |||
Nathan BARTHOLOMAY|Figure Skating|United States|Male|18 May 1989|24|1.78|-|United States, NEWTOWN|-|Nate |Jim Peterson, USA; Lyndon Johnston, CAN; Amanda Evora, USA ||||Athlete|Southwest Florida Figure Skating Club, Ellenton, FL, USA|||English|Movies, music, friends. |||
Milan BARTOVIC|Ice Hockey|Slovakia|Male|9 April 1981|32|1.82|88|Slovakia, TRENCIN|-||||||||||||||
Christopher BARTSCH|Curling|Germany|Male|6 August 1979|34|1.80|-|Germany, HAMBURG|-||Martin Beiser [national] ||||Athlete, Shop Assistant||Second ||English, German||||
Oskars BARTULIS|Ice Hockey|Latvia|Male|21 January 1987|27|1.90|90|Latvia, OGRE|-||||||||||||||
Adam BARWOOD|Alpine Skiing|New Zealand|Male|30 July 1992|21|1.86|82|New Zealand, QUEENSTOWN|-||Nils Coberger ||||||||English|Mountain biking, reading, playing guitar. |||
Gaia BASSANI ANTIVARI|Alpine Skiing|Azerbaijan|Female|8 July 1978|35|1.66|60|Italy|-|||||Vancouver 2010|Lawyer||||English, Italian||||
Anders BASTIANSEN|Ice Hockey|Norway|Male|31 October 1980|33|1.90|93|-|-||||||||||||||
Evan BATES|Figure Skating|United States|Male|23 February 1989|24|1.88|-|United States, ANN ARBOR|-||Igor Shpilband ||He missed most of the international calender during the 2010/11 season after having surgery on a lacerated Achilles' tendon. He sustained the injury when he collided with his skating partner at the time, Emily Samuelson, during a lift, causing her skate to go into the back of his leg. |Vancouver 2010|Athlete, Student|Ann Arbor FSC, United States|||English|Playing golf, playing video games, cycling, playing basketball |||
